STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
NMC67,Tequesquite Ranch,NM,NMCC,New Mexico Climate Center,3.0,35.82126,-103.79717,2023-08-23T21:00:00Z,2025-04-04T21:55:00Z,590 days 00:55:00,1.615436535097726
NMC68,Carlsbad SWCD,NM,NMCC,New Mexico Climate Center,3.0,32.38761,-104.21582,2023-10-06T14:20:00Z,2025-04-04T21:55:00Z,546 days 07:35:00,1.4957316145714503
NMC69,BOKY Ranch,NM,NMCC,New Mexico Climate Center,3.0,33.00927,-106.00873,2023-12-04T20:05:00Z,2025-04-04T21:55:00Z,487 days 01:50:00,1.3335424747129059
NMC70,Cooks Peak FD,NM,NMCC,New Mexico Climate Center,3.0,32.28965,-107.75242,2023-12-04T20:00:00Z,2025-04-04T21:55:00Z,487 days 01:55:00,1.3335519811392502
NMC72,Mac Ranch,NM,NMCC,New Mexico Climate Center,3.0,32.07410,-107.85109,2023-12-04T20:05:00Z,2025-04-04T21:55:00Z,487 days 01:50:00,1.3335424747129059
NMC73,Sunshine FD,NM,NMCC,New Mexico Climate Center,3.0,32.13887,-107.76755,2023-12-04T20:05:00Z,2025-04-04T21:55:00Z,487 days 01:50:00,1.3335424747129059
NMC74,Puerto De Luna,NM,NMCC,New Mexico Climate Center,3.0,34.82869,-104.62858,2024-01-05T16:05:00Z,2025-04-04T21:55:00Z,455 days 05:50:00,1.2463875579892008
NMC75,Valhalla Orchards,NM,NMCC,New Mexico Climate Center,3.0,32.89248,-107.33210,2024-01-05T16:05:00Z,2025-04-04T21:50:00Z,455 days 05:45:00,1.2463780515628564
NMC76,Caballo FD,NM,NMCC,New Mexico Climate Center,3.0,32.98074,-107.30714,2024-01-05T16:05:00Z,2025-04-04T21:55:00Z,455 days 05:50:00,1.2463875579892008
NMC77,Spaceport America,NM,NMCC,New Mexico Climate Center,3.0,32.93952,-106.92006,2024-01-26T18:30:00Z,2025-04-04T21:55:00Z,434 days 03:25:00,1.1886170050954445
NMC78,Kingston,NM,NMCC,New Mexico Climate Center,3.0,32.91394,-107.71114,2024-01-26T18:30:00Z,2025-04-04T21:55:00Z,434 days 03:25:00,1.1886170050954445
NMC79,Las Palomas Canyon,NM,NMCC,New Mexico Climate Center,3.0,33.08506,-107.33135,2024-05-14T16:00:00Z,2025-04-04T21:55:00Z,325 days 05:55:00,0.8904764620883717
NMC80,Coronado SWCD,NM,NMCC,New Mexico Climate Center,3.0,35.31271,-106.52982,2024-05-14T16:00:00Z,2025-04-04T21:55:00Z,325 days 05:55:00,0.8904764620883717
NMC81,Edgewood 4.2 NNW,NM,NMCC,New Mexico Climate Center,3.0,35.12175,-106.21118,2024-07-08T15:15:00Z,2025-04-04T21:55:00Z,270 days 06:40:00,0.7399802266332041
NMC82,Estancia North,NM,NMCC,New Mexico Climate Center,3.0,34.81175,-106.05687,2024-07-08T15:15:00Z,2025-04-04T21:55:00Z,270 days 06:40:00,0.7399802266332041
NMC83,NNE - LTRC,NM,NMCC,New Mexico Climate Center,3.0,36.40244,-104.56350,2024-07-12T18:15:00Z,2025-04-04T21:55:00Z,266 days 03:40:00,0.7286865921362842
NMC84,Santa Fe Skys,NM,NMCC,New Mexico Climate Center,3.0,35.58924,-106.03919,2024-08-16T20:55:00Z,2025-04-04T21:55:00Z,231 days 01:00:00,0.6325576089436459
NMC85,Grady,NM,NMCC,New Mexico Climate Center,3.0,34.79500,-103.32225,2024-09-20T17:30:00Z,2025-04-04T21:55:00Z,196 days 04:25:00,0.5371225948741349
NMC86,Raton,NM,NMCC,New Mexico Climate Center,3.0,36.89709,-104.41846,2024-09-24T15:30:00Z,2025-04-04T21:55:00Z,192 days 06:25:00,0.5263993459578675
NMC87,Solano 3.8NE,NM,NMCC,New Mexico Climate Center,3.0,35.88750,-104.02111,2024-11-05T20:30:00Z,2025-04-04T21:55:00Z,150 days 01:25:00,0.41083922731766676
NMC88,Quay 6.2S,NM,NMCC,New Mexico Climate Center,3.0,34.84339,-103.76691,2024-11-05T20:30:00Z,2025-04-04T21:55:00Z,150 days 01:25:00,0.41083922731766676
NMC89,Lon 6.7E,NM,NMCC,New Mexico Climate Center,3.0,34.14999,-105.00588,2024-12-03T15:10:00Z,2025-04-04T21:55:00Z,122 days 06:45:00,0.33478781656399725
NMC90,Burnt Well,NM,NMCC,New Mexico Climate Center,3.0,33.16877,-104.76353,2024-12-17T19:15:00Z,2025-04-04T21:55:00Z,108 days 02:40:00,0.29599209065328164
